frameNumber,repetition,user0_components,user0_effectiveError,user0_delay_ms,user0_cqi,user0_frame_rate,user1_components,user1_effectiveError,user1_delay_ms,user1_cqi,user1_frame_rate,user2_components,user2_effectiveError,user2_delay_ms,user2_cqi,user2_frame_rate,user3_components,user3_effectiveError,user3_delay_ms,user3_cqi,user3_frame_rate,user4_components,user4_effectiveError,user4_delay_ms,user4_cqi,user4_frame_rate,user5_components,user5_effectiveError,user5_delay_ms,user5_cqi,user5_frame_rate,user6_components,user6_effectiveError,user6_delay_ms,user6_cqi,user6_frame_rate,user7_components,user7_effectiveError,user7_delay_ms,user7_cqi,user7_frame_rate,user8_components,user8_effectiveError,user8_delay_ms,user8_cqi,user8_frame_rate,user9_components,user9_effectiveError,user9_delay_ms,user9_cqi,user9_frame_rate,num_users,error_at_80,error_ratio
78,1,55,879.316177,2.592814,15,120,30,1128.67979,8.319022,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,821.2777062005955,2.645695170778297
79,1,65,888.769063,2.743728,15,120,30,1152.351317,8.656686,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,852.4125160277888,2.5480135898236016
80,1,10,1949.776605,2.349896,15,120,75,924.678424,8.932455,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,918.3125308405566,2.3719418481293246
81,1,40,1151.990912,2.240207,15,120,75,997.198156,6.446429,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,989.841409891538,2.198888755067427
82,1,35,1224.366182,2.277254,15,120,50,1142.348456,6.163758,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1052.9116276461948,2.0663546075171446
83,1,5,2178.985378,2.416962,15,120,5,2178.985378,5.026527,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1096.1165634759784,1.987913923000159
84,1,25,1742.215434,2.049651,15,120,15,1802.390327,2.10728,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1088.6578122716849,1.9922926080873395
85,1,65,1187.241569,2.922512,15,120,60,1224.034161,5.153999,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1066.409074715708,2.0247348513144887
86,1,80,1038.1064,2.534769,15,120,65,1173.699093,3.024147,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1038.1064000834049,2.077150322996174
87,1,75,1007.218207,2.974205,15,120,65,1142.030166,8.126459,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,995.6815486673916,2.15625003223419
88,1,50,1244.083827,2.115569,15,120,50,1244.083827,2.759923,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,939.0824622679968,2.2765778531085235
89,1,10,1914.711502,2.420109,15,120,10,1914.711502,2.20513,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,869.9518133237821,2.4637468981091635
90,1,1,3833.281611,2.448024,15,120,60,40582.367921,11.49068,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,810.064121019605,2.6453974672513225
91,1,35,1281.543603,2.104987,15,120,35,1281.543603,2.665206,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,750.6482965893867,2.849332508876953
92,1,5,2140.545819,2.368694,15,120,40,1248.100226,2.858963,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,712.0547230395902,3.0061535302660607
94,1,5,2119.085985,2.078711,15,120,45,1227.0609,5.617247,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,699.2011348143794,3.030724464363736
95,1,80,737.374984,3.120827,15,120,1,3819.124404,2.159528,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,737.3749837580889,2.8782843834380114
96,1,75,781.308632,2.981828,15,120,5,2115.092194,2.058416,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,774.948864915279,2.7293313014854625
97,1,60,1106.827958,2.978885,15,120,75,820.903247,3.398724,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,815.1892783585362,2.596217976650434
98,1,1,3810.728457,2.079285,15,120,45,1269.239205,5.187039,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,841.185339863328,2.520303687054412
99,1,15,1650.666467,2.444131,15,120,30,1424.671583,2.490595,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,849.0843082833579,2.489175438471688
100,1,35,1313.082482,2.15371,15,120,10,1871.781917,8.261295,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,840.6170209063368,2.5108590677026017
101,1,10,1885.373519,2.165362,15,120,1,3796.816774,2.446953,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,846.6803662046718,2.50967356131758
102,1,35,1341.959825,2.99079,15,120,35,1341.959825,2.523266,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,858.1648194804256,2.493068971646764
103,1,40,1305.562101,2.475726,15,120,30,1445.580647,2.258477,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,842.664141989158,2.540819689363873
104,1,60,1111.482199,2.913239,15,120,1,3799.289975,2.096749,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,825.6833283729452,2.609014709897428
105,1,15,1668.426775,2.186262,15,120,35,1347.188732,2.819275,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,796.1155133936375,2.709493165294608
106,1,25,1567.829782,2.198429,15,120,60,1084.605021,5.518208,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,762.7035755998647,2.834762429815577
