frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms
35,50,70.663231,96208,0.512619272,0.521500000,8.880728,0,846.769921,5.000000
36,50,70.088838,96208,0.526005835,0.532000000,5.994165,0,846.769921,5.000000
37,50,73.507954,96208,0.539337560,0.544500000,5.162440,0,846.769921,5.000000
38,50,71.826257,96208,0.552601124,0.561500000,8.898876,0,846.769921,5.000000
39,50,72.704904,96208,0.566413565,0.572500000,6.086435,0,846.769921,5.000000
40,50,70.175873,96208,0.579094383,0.584500000,5.405617,0,846.769921,5.000000
41,50,72.625675,96208,0.593652694,0.605500000,11.847306,0,846.769921,5.000000
42,50,69.432452,96208,0.607425606,0.617000000,9.574394,0,846.769921,5.000000
43,50,71.114310,96208,0.622033474,0.627500000,5.466526,0,846.769921,5.000000
44,50,71.345198,96208,0.637062513,0.642000000,4.937487,1,71.345198,5.000000
45,50,71.662070,96208,0.650444468,0.657000000,6.555532,0,846.769921,5.000000
46,50,67.959352,96208,0.663581744,0.669000000,5.418256,0,846.769921,5.000000
47,50,70.594177,96208,0.678587571,0.683500000,4.912429,1,70.594177,5.000000
48,50,68.710264,96208,0.692240442,0.698500000,6.259558,0,846.769921,5.000000
49,50,71.474489,96208,0.706314399,0.721500000,15.185601,0,846.769921,5.000000
50,50,71.864211,96208,0.719603739,0.727500000,7.896261,0,846.769921,5.000000
51,50,73.575130,96208,0.732404017,0.739500000,7.095983,0,846.769921,5.000000
52,50,76.331271,96208,0.746009235,0.753000000,6.990765,0,846.769921,5.000000
53,50,74.897561,96208,0.762062805,0.768500000,6.437195,0,846.769921,5.000000
54,50,75.069268,96208,0.775271611,0.783000000,7.728389,0,846.769921,5.000000
55,50,73.875588,96208,0.789414646,0.794000000,4.585354,1,73.875588,5.000000
56,50,76.686834,96208,0.803167332,0.814500000,11.332668,0,846.769921,5.000000
57,50,76.652192,96208,0.817580591,0.824500000,6.919409,0,846.769921,5.000000
58,50,77.525000,96208,0.833314494,0.839500000,6.185506,0,846.769921,5.000000
59,50,79.561249,96208,0.848755661,0.855500000,6.744339,0,846.769921,5.000000
60,50,75.183941,96208,0.862534821,0.870500000,7.965179,0,846.769921,5.000000
61,50,76.657560,96208,0.877525134,0.883500000,5.974866,0,846.769921,5.000000
62,50,76.300601,96208,0.891357387,0.901000000,9.642613,0,846.769921,5.000000
63,50,76.810849,96208,0.904996156,0.911500000,6.503844,0,846.769921,5.000000
64,50,72.866176,96208,0.920568443,0.926500000,5.931557,0,846.769921,5.000000
65,50,69.697230,96208,0.933708336,0.940500000,6.791664,0,846.769921,5.000000
66,50,67.738582,96208,0.946905491,0.952000000,5.094509,0,846.769921,5.000000
67,50,67.811368,96208,0.960572026,0.965500000,4.927974,1,67.811368,5.000000
68,50,64.368845,96208,0.974362090,0.980000000,5.637910,0,846.769921,5.000000
69,50,65.005581,96208,0.990840984,0.995500000,4.659016,1,65.005581,5.000000
70,50,65.438253,96208,1.004726874,1.013500000,8.773126,0,846.769921,5.000000
71,50,67.872363,96208,1.018244923,1.022500000,4.255077,1,67.872363,5.000000
72,50,64.019541,96208,1.031589564,1.037500000,5.910436,0,846.769921,5.000000
73,50,64.807577,96208,1.046150512,1.052000000,5.849488,0,846.769921,5.000000
74,50,65.412179,96208,1.059839530,1.066500000,6.660470,0,846.769921,5.000000
75,50,66.789311,96208,1.075329577,1.081000000,5.670423,0,846.769921,5.000000
76,50,64.266752,96208,1.089557380,1.094500000,4.942620,1,64.266752,5.000000
77,50,66.383177,96208,1.104448207,1.111500000,7.051793,0,846.769921,5.000000
78,50,65.366709,96208,1.119029677,1.124000000,4.970323,1,65.366709,5.000000
79,50,67.312061,96208,1.132424661,1.138500000,6.075339,0,846.769921,5.000000
80,50,65.983977,96208,1.145719210,1.152000000,6.280790,0,846.769921,5.000000
81,50,67.131219,96208,1.162463398,1.167000000,4.536602,1,67.131219,5.000000
82,50,66.559627,96208,1.175249496,1.180000000,4.750504,1,66.559627,5.000000
83,50,67.401489,96208,1.191920817,1.199000000,7.079183,0,846.769921,5.000000
84,50,66.367754,96208,1.205379572,1.215500000,10.120428,0,846.769921,5.000000
85,50,68.846099,96208,1.219214412,1.224500000,5.285588,0,846.769921,5.000000
