user,packet_id,size_bytes,delay_ms,success,mse,mse_contrib
1,133,60880,12.876463,0,0.0037248310,0.0037248310
7,110,73191,61.844136,0,0.0030571090,0.0030571090
8,122,51812,32.700217,0,0.0062211000,0.0062211000
4,132,55751,16.769522,0,0.0033995710,0.0033995710
2,138,58345,14.533932,0,0.0023412430,0.0023412430
3,140,58180,13.579238,0,0.0074646940,0.0074646940
9,115,59534,51.921525,0,0.0028535370,0.0028535370
5,123,70778,36.884021,0,0.0026750360,0.0026750360
1,141,57551,11.994851,0,0.0037870660,0.0037870660
6,139,50544,22.414266,0,0.0027662380,0.0027662380
0,149,54175,12.479588,0,0.0006839380,0.0006839380
2,148,58742,15.572871,0,0.0023601490,0.0023601490
4,146,56359,17.781015,0,0.0033701650,0.0033701650
8,134,52393,34.335017,0,0.0069758290,0.0069758290
3,150,58201,15.614180,0,0.0074578790,0.0074578790
5,136,71033,40.067363,0,0.0036173110,0.0036173110
0,151,55029,11.419606,0,0.0006629860,0.0006629860
7,116,73682,74.396576,0,0.0026882880,0.0026882880
6,143,54435,29.305080,0,0.0029198690,0.0029198690
1,153,60086,13.160059,0,0.0037468970,0.0037468970
9,128,59846,59.831694,0,0.0027090350,0.0027090350
2,152,59220,14.821522,0,0.0027481840,0.0027481840
3,159,58347,13.438996,0,0.0075020630,0.0075020630
4,154,57466,16.888261,0,0.0036171660,0.0036171660
8,147,52506,36.262338,0,0.0078447770,0.0078447770
6,156,47706,25.814777,0,0.0027584290,0.0027584290
0,163,56047,12.109133,0,0.0007028530,0.0007028530
1,164,58420,12.583914,0,0.0038280590,0.0038280590
5,142,71272,47.342637,0,0.0023821910,0.0023821910
2,167,59474,12.559233,0,0.0031497240,0.0031497240
4,166,57587,15.168694,0,0.0035357300,0.0035357300
3,169,58225,14.668742,0,0.0075563650,0.0075563650
7,130,73944,80.780169,0,0.0028229380,0.0028229380
9,135,60837,68.847776,0,0.0025919300,0.0025919300
8,155,52854,40.291628,0,0.0066040190,0.0066040190
6,165,54652,25.721427,0,0.0042867810,0.0042867810
0,174,57223,10.495910,0,0.0007319200,0.0007319200
2,173,59747,13.641048,0,0.0022609300,0.0022609300
1,178,59961,13.765747,0,0.0038339060,0.0038339060
5,158,71556,45.987586,0,0.0022472550,0.0022472550
3,177,58365,16.160779,0,0.0076053220,0.0076053220
4,179,58123,16.362463,0,0.0035234570,0.0035234570
6,180,51829,21.313744,0,0.0034343090,0.0034343090
2,181,60452,13.743410,0,0.0022604930,0.0022604930
7,131,73620,97.390770,0,0.0029958070,0.0029958070
0,187,56963,11.784772,0,0.0007138510,0.0007138510
8,168,52884,46.543871,0,0.0044429140,0.0044429140
3,185,58646,13.612025,0,0.0076537130,0.0076537130
9,145,61175,81.886313,0,0.0025801850,0.0025801850
1,189,56280,12.583623,0,0.0038474870,0.0038474870
4,183,58440,16.731468,0,0.0035269580,0.0035269580
5,170,72168,49.154612,0,0.0021945560,0.0021945560
0,191,57952,11.539658,0,0.0007129300,0.0007129300
6,190,54538,24.572528,0,0.0028210090,0.0028210090
3,195,58572,12.559072,0,0.0076265750,0.0076265750
1,194,59518,13.404100,0,0.0039197480,0.0039197480
2,196,60426,14.301918,0,0.0022752180,0.0022752180
4,192,58900,16.705247,0,0.0035761900,0.0035761900
8,171,52996,53.116270,0,0.0063292600,0.0063292600
7,144,73382,103.718311,0,0.0030754000,0.0030754000
5,172,72900,54.965789,0,0.0028285970,0.0028285970
9,160,62000,85.541207,0,0.0031144010,0.0031144010
6,197,48480,21.215864,0,0.0028106060,0.0028106060
1,203,57350,13.386264,0,0.0038799520,0.0038799520
2,204,60742,14.171205,0,0.0022511770,0.0022511770
0,209,58338,13.579233,0,0.0006763560,0.0006763560
3,208,58675,15.623790,0,0.0077075900,0.0077075900
4,205,58999,16.349055,0,0.0035629530,0.0035629530
6,207,54254,22.644389,0,0.0027726010,0.0027726010
5,188,73490,56.199577,0,0.0032404900,0.0032404900
8,186,53152,56.612460,0,0.0121271160,0.0121271160
0,214,59255,11.186901,0,0.0006411220,0.0006411220
7,157,73390,110.008208,0,0.0047935090,0.0047935090
2,215,61209,13.791719,0,0.0022708840,0.0022708840
1,218,58783,13.342883,0,0.0039335580,0.0039335580
3,212,58960,18.881283,0,0.0078057930,0.0078057930
4,216,59087,16.798740,0,0.0035987870,0.0035987870
9,161,63005,106.290781,0,0.0033950060,0.0033950060
6,217,52058,25.280233,0,0.0028321450,0.0028321450
0,222,59989,12.358387,0,0.0006374330,0.0006374330
1,226,54902,11.101548,0,0.0041356660,0.0041356660
8,198,53097,60.385736,0,0.0064367230,0.0064367230
2,225,61456,13.668406,0,0.0025033270,0.0025033270
5,199,73467,59.991053,0,0.0017372110,0.0017372110
4,228,59245,14.508348,0,0.0035413500,0.0035413500
3,230,58960,14.908484,0,0.0077314200,0.0077314200
7,162,73384,121.769596,0,0.0067090790,0.0067090790
6,227,56484,27.585240,0,0.0033626860,0.0033626860
1,232,58509,12.813421,0,0.0042057700,0.0042057700
0,235,60000,12.107305,0,0.0007026530,0.0007026530
2,236,61754,14.540874,0,0.0022597560,0.0022597560
9,175,63008,114.389516,0,0.0026374710,0.0026374710
8,206,53330,63.306086,0,0.0042800090,0.0042800090
4,231,59591,18.737036,0,0.0036365470,0.0036365470
3,240,59051,15.510302,0,0.0078295740,0.0078295740
5,202,73444,68.910466,0,0.0017312190,0.0017312190
0,242,59836,13.096499,0,0.0006291920,0.0006291920
6,233,48434,29.604882,0,0.0031047220,0.0031047220
2,241,61745,14.743439,0,0.0022723030,0.0022723030
1,250,56793,13.396904,0,0.0045324330,0.0045324330
3,248,59431,15.286266,0,0.0078982170,0.0078982170
7,176,73602,132.182782,0,0.0038742830,0.0038742830
4,249,59632,16.684856,0,0.0036279640,0.0036279640
8,211,53227,71.847867,0,0.0042920430,0.0042920430
9,182,63210,124.638484,0,0.0025365440,0.0025365440
5,220,73602,73.607181,0,0.0017955020,0.0017955020
0,258,60049,11.858759,0,0.0006507500,0.0006507500
6,245,55680,30.577178,0,0.0045783680,0.0045783680
1,255,58520,12.932168,0,0.0044947590,0.0044947590
2,253,61963,15.033588,0,0.0022361020,0.0022361020
3,251,60132,18.599633,0,0.0079272260,0.0079272260
4,254,59909,16.168154,0,0.0036591180,0.0036591180
7,184,73927,139.367228,0,0.0045967820,0.0045967820
8,229,53343,72.157880,0,0.0064844030,0.0064844030
0,262,59796,12.944784,0,0.0006433570,0.0006433570
2,266,62173,13.009763,0,0.0021870650,0.0021870650
9,193,62836,132.065542,0,0.0023981570,0.0023981570
1,270,54819,9.801445,0,0.0045382190,0.0045382190
6,252,53082,33.080805,0,0.0036702530,0.0036702530
4,265,60201,16.848329,0,0.0037247900,0.0037247900
3,268,60181,16.173889,0,0.0078802430,0.0078802430
5,223,74353,85.345578,0,0.0026299740,0.0026299740
1,271,58573,10.774384,0,0.0046250920,0.0046250920
