user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms
2,billiards,static,35,952.1750450880004,0.108,10.492506845
3,billiards,static,35,761.3431313830001,0.319,4.7179732979999995
4,billiards,static,35,838.9923403540002,0.233,7.68206501
5,billiards,static,35,933.7450388290004,0.129,10.59340426
6,billiards,static,35,805.8201587560002,0.269,8.720174792000002
7,billiards,static,35,676.3969572130002,0.412,6.425169944
8,billiards,static,35,756.0205367790002,0.324,8.019341097
9,billiards,static,35,771.6160850140002,0.308,4.492085099
0,billiards,static,40,490.2204077191575,0.6028084252758275,3.7028794202607824
1,billiards,static,40,718.7027926713855,0.3569261880687563,15.73581475834176
2,billiards,static,40,1026.7090095956526,0.025,79.40768052391304
3,billiards,static,40,834.5065656646589,0.2319277108433735,5.365365373493976
4,billiards,static,40,912.1599957477207,0.14893617021276595,23.372112956433636
5,billiards,static,40,979.5739570179708,0.07610993657505286,47.67575570190275
6,billiards,static,40,856.4829462669364,0.20930232558139536,12.846729691607685
7,billiards,static,40,795.2423245146913,0.2735562310030395,7.74929352887538
8,billiards,static,40,811.5019596534555,0.2571138211382114,10.75938075711382
9,billiards,static,40,844.5561952296075,0.2215508559919436,5.64280450755287
0,billiards,static,45,541.4552454457832,0.536144578313253,3.965008772088353
1,billiards,static,45,841.1835856942486,0.2199798183652876,29.977584097880925
2,billiards,static,45,1040.5088866349697,0.010224948875255624,88.02082794887527
3,billiards,static,45,889.8635382434611,0.16901408450704225,6.4505468028169
4,billiards,static,45,986.1205248632223,0.0668693009118541,43.05812714893617
5,billiards,static,45,1012.6003829509708,0.03983656792645557,109.74840930234932
6,billiards,static,45,994.1243641661573,0.059123343527013254,13.423189154943934
7,billiards,static,45,810.1623074052956,0.2525458248472505,8.768943708757638
8,billiards,static,45,896.490260212336,0.16177957532861476,27.729630147623862
9,billiards,static,45,907.8349192502526,0.1503531786074672,9.926425709384459
0,billiards,static,50,645.0900696773548,0.42084168336673344,4.152800738476953
1,billiards,static,50,824.3496615526582,0.2337011033099298,56.1037167111334
2,billiards,static,50,1050.2572660000005,0.0,91.61873238198758
3,billiards,static,50,1012.3610639225354,0.039235412474849095,7.60765059859155
4,billiards,static,50,1050.2572660000005,0.0,46.94291521252566
5,billiards,static,50,1050.2572660000003,0.0,97.99651947445255
6,billiards,static,50,1050.2572660000003,0.0,11.745216130745659
